#Cluster	Sample size	Presence SNPs	Absence SNPs	Filtered presence SNPs	Filtered absence SNPs	Presence markers	Absence markers	Filtered presence markers	Filtered absence markers
L3.1.2.1.2.1.1.2.1.2.2.1	11	0	0	0	0	0	0	0	0
L3.1.2.1.2.1.1.2.1.2.2.2	80	20	0	20	0	20	0	20	0
L3.1.2.1.2.1.1.2.1.2.2.2.1	19	5	0	5	0	5	0	5	0
L3.1.2.1.2.1.1.2.1.2.2.2.2	61	3	0	3	0	3	0	3	0
L3.1.2.1.2.1.1.2.1.2.2.2.2.1	19	28	0	28	0	28	0	28	0
L3.1.2.1.2.1.1.2.1.2.2.2.2.2	30	0	0	0	0	0	0	0	0
L3.1.2.1.2.1.1.2.1.2.2.2.2.2.1	12	13	0	13	0	13	0	13	0
L3.1.2.1.2.1.1.2.1.2.2.2.2.2.2	15	0	0	0	0	0	0	0	0
L3.1.2.1.2.1.1.2.2.1	14	13	0	13	0	13	0	13	0
L3.1.2.1.2.1.1.2.2.2	130	0	0	0	0	0	0	0	0
L3.1.2.1.2.1.1.2.2.2.1	90	10	0	10	0	10	0	10	0
L3.1.2.1.2.1.1.2.2.2.2	40	3	0	3	0	3	0	3	0
L3.1.2.1.2.1.1.2.2.2.1.1	64	17	0	17	0	17	0	17	0
L3.1.2.1.2.1.1.2.2.2.1.2	25	13	0	13	0	13	0	13	0
L3.1.2.1.2.1.1.2.2.2.1.1.1	14	102	0	100	0	100	0	100	0
L3.1.2.1.2.1.1.2.2.2.1.1.2	46	72	0	70	0	70	0	70	0
L3.1.2.1.2.1.1.2.2.2.2.1	10	25	0	25	0	25	0	25	0
L3.1.2.1.2.1.1.2.2.2.2.2	30	24	0	24	0	24	0	24	0
L4.1	802	0	0	0	0	0	0	0	0
L4.2	2137	0	56	0	56	168	0	168	0
L4.1.1	643	87	0	87	0	87	0	87	0
L4.1.2	159	158	0	154	0	154	0	154	0
L4.1.1.1	42	26	0	26	0	26	0	26	0
L4.1.1.2	600	1	0	1	0	1	0	1	0
L4.1.1.2.1	283	17	0	17	0	17	0	17	0
L4.1.1.2.2	317	27	0	27	0	27	0	27	0
L4.1.1.2.1.1	60	238	0	231	0	231	0	231	0
L4.1.1.2.1.2	223	58	0	56	0	56	0	56	0
L4.1.1.2.1.1.1	12	26	0	26	0	26	0	26	0
L4.1.1.2.1.1.2	48	2	0	2	0	2	0	2	0
L4.1.1.2.1.2.1	26	111	0	109	0	109	0	109	0
L4.1.1.2.1.2.2	197	3	0	3	0	3	0	3	0
L4.1.1.2.1.2.2.1	35	0	0	0	0	0	0	0	0
L4.1.1.2.1.2.2.2	162	89	0	85	0	85	0	85	0
L4.1.1.2.1.2.2.2.1	24	8	0	8	0	8	0	8	0
L4.1.1.2.1.2.2.2.2	123	1	0	1	0	1	0	1	0
L4.1.1.2.1.2.2.2.2.1	60	23	0	23	0	23	0	23	0
L4.1.1.2.1.2.2.2.2.2	63	10	0	10	0	10	0	10	0
L4.1.1.2.1.2.2.2.2.1.1	28	1	0	1	0	1	0	1	0
L4.1.1.2.1.2.2.2.2.1.2	32	4	0	4	0	4	0	4	0
L4.1.1.2.1.2.2.2.2.1.2.1	16	12	0	12	0	12	0	12	0
L4.1.1.2.1.2.2.2.2.1.2.2	16	7	0	7	0	7	0	7	0
L4.1.1.2.1.2.2.2.2.2.1	23	4	0	4	0	4	0	4	0
L4.1.1.2.1.2.2.2.2.2.2	37	10	0	10	0	10	0	10	0
L4.1.1.2.1.2.2.2.2.2.2.1	16	18	0	18	0	18	0	18	0
L4.1.1.2.1.2.2.2.2.2.2.2	20	0	0	0	0	0	0	0	0
L4.1.1.2.2.1	219	103	0	103	0	103	0	103	0
L4.1.1.2.2.2	81	56	0	56	0	56	0	56	0
L4.1.1.2.2.1.1	35	34	0	34	0	34	0	34	0
L4.1.1.2.2.1.2	165	0	0	0	0	0	0	0	0
L4.1.1.2.2.1.1.1	13	12	0	10	0	10	0	10	0
